ev_001	ev_002	ev_003	ev_004	ev_005	ev_006	ev_007	ev_008	ev_009	ev_010	ev_011	ev_012
-0.002345884773999407	0.0321373219629792	0.2756926432688246	0.0	0.0	0.0	0.0	-0.017501614737400382	0.0	0.0	0.0	0.0
-0.0007307755018679207	0.2886075255677754	0.07816533130223956	0.0	0.0	0.0	0.0	-0.006812186886110946	0.0	0.0003048156532163941	0.0	0.0
-0.0002093010266773299	0.2584081921604835	-0.05663194597012834	0.0	0.0	0.0	0.0	-0.002346018148437082	0.0	0.10114013471816634	0.0	0.0
-5.580773490674431e-05	0.07141798515997703	-0.09024571522139589	0.0	0.0	0.0	0.0	-0.0007308204784047278	0.0	0.3271354233443062	0.0	0.0
-1.3990351215930733e-05	-0.058960046630666965	-0.0690179859388364	0.0	0.0	0.0	0.0	-0.00020931473910188066	0.0	0.2759192314218745	0.0	0.0
0.0003042360798551951	-0.09097651711942537	-0.038536272349792254	0.0	0.0	0.0	0.0	-5.58115812077001e-05	0.0	0.07823990652813036	0.0	0.0
0.10111607292830654	-0.06922888553472416	-0.017503937051173753	0.0	0.0	0.0	0.0	-1.3991356783945831e-05	0.0	-0.05660983359110393	0.0	0.0
0.3271241085312664	-0.03859344636067259	-0.0068132333263072956	0.0	0.0	0.0	0.0	-2.1054995420361521e-07	0.0	-0.09024579770346582	0.00030426140256076376	0.0
0.2759365322606735	-0.017518703518116865	-0.0023464182717502	0.0	0.0	0.0	0.0	0.0	0.0	-0.069021128227559	0.10110404203337713	0.0
0.07825867786541729	-0.006813793166690373	-0.0007309554080151803	0.00030407665234221277	0.0	0.0	0.0	0.0	0.0	-0.038538989516535546	0.32711845112474675	0.0
-0.05660171055772759	-0.002346551646187907	-0.00020935587637553236	0.10109201113844722	0.0	0.0	0.0	0.0	0.0	-0.017505485260356092	0.2759451826800731	0.0
-0.09024608978142977	-0.0007310003845519875	-5.582312011056639e-05	0.3271127937182282	0.0	0.0	0.0003038919021236989	0.0	0.0	-0.006813930953104821	0.07826806353405868	0.0
-0.06902427051628128	-0.00020936958880007979	-1.3994373487990842e-05	0.27595383309947064	0.0	0.0	0.10107998024352023	0.0	0.0	-0.0023466850206255827	-0.056597649041040324	0.0
-0.03854170668327856	-5.5826966411522175e-05	-2.1198104443282581e-07	0.07827744920270235	0.0	0.0003037071519051404	0.32710713631170835	0.0	0.0	-0.0007310453610888056	-0.09024623582041176	0.0
-0.017507033469538278	-1.399537905600594e-05	0.0	-0.05659358752435207	0.0	0.10106794934859033	0.2759624835188703	0.0	0.0	-0.00020938330122463052	-0.06902584166064261	0.0
-0.006814628579902443	-2.1245807450927415e-07	0.0	-0.09024638185939375	0.0	0.3271014789051884	0.07828683487134601	0.0003035224016865819	0.0	-5.583081271247797e-05	-0.03854306526665024	0.0
-0.002346951769500998	0.0	0.0	-0.06902741280500395	0.0	0.27597113393826994	-0.05658952600766382	0.10105591845366042	0.0	-1.3996384624021037e-05	-0.017507807574129466	0.0
-0.0007311353141624397	0.0	0.0	-0.038544423850021846	0.0	0.07829622053998926	-0.09024652789837574	0.3270958214986688	0.0	-2.1293510458570184e-07	-0.00681497739330124	0.0
-0.00020941072607373143	0.0	0.0	-0.017508581678720617	0.0	-0.05658546449097575	-0.06902898394936521	0.2759797843576692	0.0	0.0	-0.0023470851439387	0.0
-5.5838505314389375e-05	0.0	0.0	-0.006815326206700051	0.0	-0.09024667393735773	-0.038545782433393516	0.07830560620863292	0.0	0.0	-0.0007311802906992579	0.0
-1.399839576005095e-05	0.0	0.0	-0.002347218518376376	0.0	-0.06903055509372617	-0.01750935578331162	-0.056581402974288465	0.0	0.0	-0.0002094244384982789	0.0
-2.1388916473848475e-07	0.0	0.0	-0.0007312252672360652	0.0	-0.03854714101676487	-0.0068156750200987805	-0.0902468199763397	0.0	0.0	-5.5842351615344254e-05	0.00030296815103095855
0.0	0.0	0.0	-0.00020943815092282968	0.0	-0.017510129887902806	-0.0023473518928140836	-0.06903212623808751	0.0	0.0	-1.399940132806605e-05	0.10101982576887411
0.0	0.0	0.0	-5.584619791630004e-05	0.0	-0.006816023833497592	-0.0007312702437728833	-0.03854849960013654	0.0	0.0	-2.143661948149331e-07	0.32707884927911046
0.0	0.0	0.0	-1.4000406896081148e-05	0.0	-0.0023474852672517913	-0.00020945186334738041	-0.01751090399249399	0.0	0.0	0.0	0.27600573561586605
0.0	0.0	0.0	-2.1484322489138145e-07	0.0	-0.0007313152203097013	-5.5850044217255836e-05	-0.006816372646896403	0.00030259865059384156	0.0	0.0	0.07833376321456166
0.0	0.0	0.0	0.0	0.0	-0.00020946557577193118	-1.4001412464096246e-05	-0.002347618641689499	0.1009957639790143	0.0	0.0	-0.056569218424223716
0.0	0.0	0.0	0.0	0.0	-5.585389051821162e-05	-2.153202549678298e-07	-0.0007313601968465195	0.3270675344660707	0.0	0.0	-0.09024725809328568
0.0	0.0	0.0	0.0	0.0	-1.4002418032111343e-05	0.0	-0.00020947928819648192	0.2760230364546653	0.0	0.0	-0.06903683967117151
0.0	0.0	0.0	0.0	0.0003022291501567246	-2.1579728504427816e-07	0.0	-5.585773681916741e-05	0.07835253455184897	0.0	0.0	-0.038552575350251556
